                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6245,                 2.7132,                 1.9806,                0.00712,                0.41167,                0.00477,                0.00168,                 2.8809,                 66.055,                 3.9947,             0.00066092,             0.00066092,             0.00066092
                      1,                 1.8273,                 2.3813,                 2.1989,                0.04535,                0.10726,                 0.0163,                0.00387,                 2.8807,                 5.9345,                 3.5408,               0.001313,               0.001313,               0.001313
                      2,                 1.8762,                 2.3656,                 2.1829,                0.01337,                0.26814,                0.00674,                0.00195,                 3.2335,                 10.864,                 4.4751,              0.0019504,              0.0019504,              0.0019504
                      3,                 1.8658,                 2.4066,                 2.1848,                0.23267,                0.32019,                 0.1593,                0.04756,                 2.5727,                 3.1593,                 3.1239,               0.001934,               0.001934,               0.001934
                      4,                 1.8791,                 2.4088,                 2.2338,                0.11989,                0.19874,                0.05882,                0.01589,                 2.9806,                 3.2134,                 3.5981,               0.001934,               0.001934,               0.001934
                      5,                 1.7318,                 2.2927,                 2.1107,                0.18018,                0.31546,                0.08818,                0.02819,                 2.5474,                 3.0505,                  3.259,               0.001912,               0.001912,               0.001912
                      6,                 1.7416,                 2.2394,                  2.085,                0.30744,                0.26025,                0.16541,                0.05844,                 2.3443,                 2.9347,                 2.9687,                0.00189,                0.00189,                0.00189
                      7,                 1.7278,                 2.2242,                 2.0541,                0.32036,                0.25079,                0.18132,                0.06683,                 2.4179,                 3.1627,                 3.0633,               0.001868,               0.001868,               0.001868
                      8,                 1.7181,                 2.2859,                 2.0505,                0.25546,                0.26465,                0.15698,                0.04548,                 2.5681,                 3.0446,                 3.2013,               0.001846,               0.001846,               0.001846
                      9,                 1.6378,                 2.1719,                 1.9971,                0.28215,                0.34543,                0.18485,                0.05977,                 2.3834,                  2.945,                 3.0769,               0.001824,               0.001824,               0.001824
                     10,                 1.6333,                 2.1721,                 1.9952,                0.33828,                0.31388,                0.17988,                0.05664,                 2.3829,                 3.0413,                 3.0208,               0.001802,               0.001802,               0.001802
                     11,                 1.6232,                 2.1234,                  1.995,                0.34426,                0.32334,                0.19176,                0.06644,                 2.3559,                 2.9518,                 2.9064,                0.00178,                0.00178,                0.00178
                     12,                 1.5888,                 2.0853,                 1.9524,                0.35045,                0.29022,                0.21322,                0.07552,                 2.3695,                 2.7317,                  3.039,               0.001758,               0.001758,               0.001758
                     13,                 1.5944,                 2.1254,                 1.9851,                0.37363,                0.34858,                0.23642,                0.08124,                 2.3479,                  2.659,                  2.883,               0.001736,               0.001736,               0.001736
                     14,                 1.5619,                 2.1016,                  1.932,                0.38109,                0.30757,                0.26156,                0.10419,                 2.3045,                 2.7375,                 2.8893,               0.001714,               0.001714,               0.001714
                     15,                 1.5477,                 2.0618,                 1.9277,                0.37431,                0.30757,                0.23744,                 0.0793,                 2.3415,                 2.8834,                 2.8665,               0.001692,               0.001692,               0.001692
                     16,                 1.4871,                 2.0537,                 1.8865,                0.42655,                0.35962,                0.29372,                0.12802,                  2.238,                 2.6647,                 2.9126,                0.00167,                0.00167,                0.00167
